"gene","liver_GSE135251_rho","liver_GSE14323_rho","lung_GSE47460_rho","lung_GSE53845_rho","liver_GSE135251_FDR","liver_GSE14323_FDR","lung_GSE47460_FDR","lung_GSE53845_FDR","n_cohorts_tested","n_cohorts_sig_FDR05","direction_consistent","n_negative","n_positive"
"CAMP",-0.0559091972192544,-0.459454693434617,-0.45675689518783,-0.529455909943715,0.533904509696199,1.49506460565567e-05,4.53219585176698e-07,0.00132909963821273,4,3,TRUE,4,0
"ELANE",-0.19187671624179,-0.421554530656538,-0.34750124330686,0.075422138836773,0.0229153800514931,7.56389624076513e-05,0.00016119516165251,0.743145564196227,4,3,FALSE,3,1
"LTF",-0.205845147518592,0.176342919153554,0.435568641252592,0.646341463414634,0.0179665211420366,0.10281078155239,1.17176498873767e-06,2.65288077022854e-05,4,3,FALSE,1,3
"MPO",-0.0253182803743976,-0.277482365708085,-0.320378163409724,-0.412382739212007,0.717925713987226,0.00929707822471454,0.000441653060108606,0.0196486813306437,4,3,TRUE,4,0
"NCF2",-0.0535116528877404,0.388442756375475,-0.477043817328663,-0.664727954971857,0.533904509696199,0.000275943185336689,1.6702499870257e-07,2.65288077022854e-05,4,3,FALSE,3,1
"DEFA4",-0.0900487913634455,-0.337086272381986,-0.327988355052402,-0.0968105065666041,0.297039250470981,0.00134416022980542,0.00035515602736269,0.736445150324492,4,2,TRUE,4,0
"ITGAM",-0.09776070998363,0.342905588714053,-0.475850115904893,-0.346639148559023,0.277937486884968,0.00125207494305697,1.6702499870257e-07,0.0568658561140153,4,2,FALSE,3,1
"LCN2",-0.127805976244651,0.134848073792729,0.442471676572416,0.654814954517451,0.161143894764929,0.207515794668123,9.19964700562577e-07,2.65288077022854e-05,4,2,FALSE,1,3
"PADI4",-0.119745535100851,-0.49633749321758,-0.205131509597283,0.180675422138837,0.172915077631853,3.24846657833165e-06,0.0286189280771769,0.453537923440544,4,2,FALSE,3,1
"S100A12",-0.0268384324850535,0.218027672273467,-0.199454761747406,-0.118574108818011,0.717925713987226,0.0437918601726634,0.0303890462273343,0.699254711722491,4,2,FALSE,3,1
"CTSG",-0.208600082591025,0.0511123168746609,-0.0481461103924549,-0.0596622889305816,0.0179665211420366,0.620910986663272,0.598455976105007,0.743145564196227,4,1,FALSE,3,1
"AZU1",-0.141351643399368,-0.35299782962561,NA,-0.0534709193245778,0.128103999115552,0.00100631906364226,NA,0.743145564196227,3,1,TRUE,3,0
